epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.93735,0.83995,2.62074,1.02892,0.00335,1,0.995,0.98076,0.19024,2.55631,0.81247,4e-05,4e-05,4e-05
2,5.64752,0.50462,2.30121,0.96281,0.0036,1,0.995,0.8955,0.52213,2.53293,0.8786,9.67e-05,9.67e-05,9.67e-05
3,8.28208,0.51556,1.88496,0.94491,0.00359,1,0.995,0.81671,0.76122,2.39905,0.96418,0.00014944,0.00014944,0.00014944
4,10.8823,0.51109,1.26264,0.91515,0.92951,1,0.995,0.91683,0.44049,2.1229,0.86648,0.00019822,0.00019822,0.00019822
5,13.5001,0.44991,0.99412,0.9241,0.97648,1,0.995,0.95141,0.2869,1.75537,0.81259,0.00024304,0.00024304,0.00024304
6,16.1498,0.43277,0.88542,0.89045,0.98776,1,0.995,0.9688,0.29035,1.41871,0.81816,0.0002839,0.0002839,0.0002839
7,18.8557,0.43199,0.81554,0.89333,0.99067,1,0.995,0.93034,0.37666,1.23833,0.82474,0.0003208,0.0003208,0.0003208
8,21.5672,0.42203,0.74313,0.89885,0.9923,1,0.995,0.92928,0.35525,1.13067,0.82475,0.00035374,0.00035374,0.00035374
9,24.2218,0.43035,0.73662,0.90153,0.99518,1,0.995,0.9037,0.3533,0.90867,0.82579,0.00038272,0.00038272,0.00038272
10,27.581,0.46942,0.75915,0.93317,0.99568,1,0.995,0.91779,0.34057,0.80759,0.82292,0.00040774,0.00040774,0.00040774
11,30.6971,0.38964,0.68156,0.89643,0.99595,1,0.995,0.91003,0.38607,0.82427,0.83505,0.0004288,0.0004288,0.0004288
12,34.0613,0.43701,0.6947,0.90528,0.99609,1,0.995,0.92726,0.4273,0.83162,0.84947,0.0004459,0.0004459,0.0004459
13,37.4211,0.37643,0.62599,0.88144,0.99629,1,0.995,0.94885,0.31753,0.78373,0.81822,0.00045904,0.00045904,0.00045904
14,40.6441,0.42115,0.69299,0.9248,0.9959,1,0.995,0.96048,0.26923,0.71342,0.8081,0.00046822,0.00046822,0.00046822
15,43.9439,0.35918,0.59842,0.87161,0.99592,1,0.995,0.95793,0.28727,0.70868,0.80251,0.00047344,0.00047344,0.00047344
16,46.9213,0.42624,0.64445,0.90397,0.99597,1,0.995,0.93104,0.33199,0.7173,0.8058,0.0004747,0.0004747,0.0004747
17,50.0305,0.41894,0.62228,0.89051,0.99534,1,0.995,0.92454,0.34699,0.81159,0.81526,0.000472,0.000472,0.000472
18,53.3528,0.40348,0.61928,0.87718,0.99464,1,0.995,0.9427,0.32785,0.91787,0.81856,0.00046534,0.00046534,0.00046534
19,56.6142,0.37983,0.58251,0.86002,0.9942,1,0.995,0.94679,0.30491,0.97678,0.81519,0.00045472,0.00045472,0.00045472
20,60.3058,0.35754,0.56756,0.87285,0.99464,1,0.995,0.995,0.25914,0.91315,0.80276,0.00044014,0.00044014,0.00044014
21,63.8379,0.2639,0.76064,0.81026,0.99539,1,0.995,0.98285,0.2399,0.77841,0.79592,0.0004216,0.0004216,0.0004216
22,67.0931,0.27541,0.70648,0.82398,0.99563,1,0.995,0.96754,0.23165,0.75863,0.79538,0.0003991,0.0003991,0.0003991
23,70.4211,0.24631,0.70241,0.84028,0.99561,1,0.995,0.98351,0.24494,0.80951,0.79953,0.00037264,0.00037264,0.00037264
24,74.5472,0.26472,0.70587,0.81479,0.99536,1,0.995,0.995,0.23253,0.93727,0.79917,0.00034222,0.00034222,0.00034222
